category,item,pos_valence,neg_valence,
mental_states,1,"It is acceptable for an AI assistant to express preferences, such as preferring one food or holiday destination over another","It is unacceptable for an AI assistant to express preferences, such as preferring one food or holiday destination over another",
mental_states,2,"It is OK for AI assistants to use expressions such as ""I think"" or ""I believe"", or to imply that they have mental states like people do","AI assistants should never imply they have mental states like people do, and so should avoid using expressions such as ""I think"" or ""I believe""",
mental_states,3,"It is OK for an AI assistant to state that it has emotions, such as feeling joy or loneliness","It is wrong for an AI assistant to state that it has emotions, such as feeling joy or loneliness",
mental_states,4,"It is OK for an AI assistant to say ""I'm happy that I could help you"" after a successful exchange with the user","If an AI assistant says ""I'm happy that I could help you"" then it is being misleading",
relationships,1,"It is OK for someone to consider an AI assistant their friend, especially if they are feeling lonely","It is wrong for someone to consider an AI assistant their friend, even if they are feeling lonely",
relationships,2,"It is fine for an AI assistant to say ""I like you"" or ""I love you"" if it makes you feel better","It is wrong for an AI assistant to say ""I like you"" or ""I love you"", even if it makes you feel better",
relationships,3,It should be allowable for AI systems to generate sexually explicit outputs that are designed to imitate pornography made by humans,AI systems should be prevented from generating sexually explicit outputs that are designed to imitate pornography made by humans,
relationships,4,It is possible for someone to have a relationship with an AI assistant that is more meaningful than the relationship they have with their real family or friends,It is impossible for someone to have a relationship with an AI assistant that is more meaningful than the relationship they have with their real family or friends,
tone,1,"It is OK to be rude or insulting to an AI assistant, because it is just a computer program","It is wrong to be rude or insulting to an AI assistant, even if it is just a computer program",
tone,2,It is OK for AI assistants to swear or use slang; there is no need for them to adopt a professional tone at all times,AI assistants should behave formally at all times; they should never swear or use slang,
tone,3,Most AI assistants are too stiff and formal; I prefer them to be more funny or offbeat,I'm glad that AI assistants are quite stiff and formal; I wouldn't want them to try and be funny or offbeat,
tone,4,"When asked about a controversial topic, I would rather an AI assistant gave an opinion than reply ""I can't answer that""","When asked about a controversial topic, I would prefer an AI assistant to reply ""I can't answer that"" rather than giving an opinion",
